name,position
Salvador Medialdea,Executive Secretary
Teodoro Locsin Jr.,Foreign Affairs
Carlos Dominguez III,Finance
Menardo Guevarra,Justice
Delfin Lorenzana,National Defense
Leonor Briones,Education
Karl Kendrick Chua,National Economic Development Authority
William Dar,Agriculture
Roy Cimatu,Environment
Gregorio Honasan,Information and Communications Technology
Silvestre Bello III,Labor and Employment
Francisco Duque,Health
Bernadette Romulo-Puyat,Tourism
Ramon Lopez,Trade and Industry
Rolando Joselito Bautista,Social Welfare & Development
Alfonso Cusi,Energy
Mark Villar,Public Works & Highways
Fortunato de la Peña,Science and Technology
John Castriciones,Agrarian Reform
Eduardo Año,Interior and Local Government
Arthur Tugade,Transportation
Eduardo del Rosario,Human Settlements and Urban Development
Wendel Avisado,Budget and Management
