@@,wdid,name,position
->,Q95176372,Karl Kendrick Chua,15th Director-General of the National Economic and Development Authority->Secretary of Socio-economic Planning
->,Q7701087,"Teodoro Locsin, Jr.->Teodoro Locsin Jr.",Secretary of Foreign Affairs
->,Q66221363,Menardo Guevarra,59th Secretary of Justice->Secretary of Justice
->,Q25350470,Carlos Dominguez III,31st Secretary of Finance->Secretary of Finance
->,Q24852544,Salvador Medialdea,Executive Secretary of the Philippines->Executive Secretary
->,Q12970094->NULL,Roger Mercado->Roger G. Mercado (Acting),Secretary of Public Works and Highways
->,Q110914870->NULL,Bernie F. Cruz,Secretary of Agrarian Reform
->,Q110408318->NULL,Emmanuel Rey R. Caintic->Emmanuel Rey R. Caintic (Acting),Secretary of Information and Communications Technology
->,Q110013408->NULL,Tina Rose Marie Canda,Secretary of Budget and Management
---,Q6761357,Leni Robredo,Vice President of the Philippines
---,Q457786,Rodrigo Duterte,President of the Philippines
+++,"",TBA,Secretary of Migrant Workers
