wanted,position,positionid,from,start,end
Q109235964,Secretary of the Presidential Management Staff,Q113272093,Q112660887,2022-06-30,
Q109235964,Special Assistant to the President,Q107203252,Q4776725,2022-06-30,
Q112153814,Secretary of Migrant Workers,Q113272068,Q22007251,2022-06-30,
Q6774889,Press Secretary,Q110129785,Q112628828,2022-06-30,
Q471883,Speaker of the House of Representatives,Q3409782,Q6678907,2020-10-12,
Q69543258,Chairman of the Joint Chiefs,Q88779285,Q81052462,2020-01-04,2020-08-03
Q4777091,Governor of Capiz,Q67275771,Q66310106,2019-06-30,2022-06-30
Q29870794,Governor of the Central Bank,Q28407294,Q4888484,2019-03-04,
Q12965271,Presidential Adviser on the Peace Process,Q113272282,Q52274914,2018-12-12,
Q4492601,President of the Senate,Q3410551,Q983315,2018-05-22,
Q25653166,Chairman of the Joint Chiefs,Q88779285,Q20675880,2016-12-07,2017-10-26
Q16732792,Secretary of Science and Technology,Q7444322,Q25350219,2016-06-30,2022-06-30
Q17371180,Secretary of the Interior and Local Government,Q7444421,Q24896198,2016-06-30,2017-04-04
Q26702670,Secretary of Energy,Q7444301,Q25706643,2016-06-30,2022-06-30
Q27922208,Member of the House of Representatives of the Philippines,Q18002923,Q3543427,2016-06-30,2019-06-30
Q5065442,National Security Advisor,Q110013576,Q5741968,2016-06-30,2022-06-30
Q5169662,Secretary of Social Welfare and Development,Q7444323,Q25341910,2016-06-30,2017-08-16
Q6153693,Secretary of Health,Q7444312,Q24852475,2016-06-30,2017-10-10
Q6282903,Secretary of Transportation and Communications,Q7444401,Q24810051,2016-06-30,2022-06-30
Q7133572,Executive Secretary,Q30995,Q24852544,2016-06-30,2022-06-30
Q7357741,Secretary of Public Works and Highways,Q7444321,Q27107735,2016-06-30,2016-07-31
Q98556633,Secretary of Trade and Industry,Q7444399,Q28421676,2016-06-30,2022-06-30
Q23772290,Secretary of Justice,Q7444314,Q26702676,2016-01-22,2016-06-30
Q7319383,Member of the House of Representatives of the Philippines,Q18002923,Q2606208,2013-06-30,2016-06-30
Q7512047,Member of the House of Representatives of the Philippines,Q18002923,Q19960435,2013-06-30,2016-06-30
Q1051975,Director-General of the National Economic and Development Authority,Q110013323,Q4796473,2012-05-10,2016-01-31
Q4712086,Secretary of Tourism,Q7444400,Q16186727,2011-09-01,2016-06-30
Q1713893,Member of the House of Representatives of the Philippines,Q18002923,Q12963710,2010-06-30,2013-06-30
Q2163117,Secretary of Budget and Management,Q7444285,Q1427383,2010-06-30,2016-06-30
Q2348352,Governor of Ilocos Sur,Q61337180,Q2399446,2010-06-30,2013-06-30
Q2566066,Governor of Zambales,Q25050674,Q17371030,2007-06-30,2010-06-30
Q7159926,Governor of Camiguin,Q67275764,Q12965596,2007-06-30,2016-06-30
Q530701,Secretary of the Interior and Local Government,Q7444421,Q983326,2006-02-05,2010-06-30
Q5169662,Secretary of Social Welfare and Development,Q7444323,Q5398896,2005-07-21,2009-08-31
Q7932040,Secretary of Energy,Q7444301,Q113044235,2005-03-22,2007-07-18
Q6301522,Secretary of Finance,Q7444305,Q1056659,2005-02-15,2005-07-15
Q1396213,Secretary of Trade and Industry,Q7444399,Q1056659,2003-12-10,2005-07
Q123665,Secretary of Foreign Affairs,Q17088037,Q517387,2002-07-16,2003-12-14
Q471899,Member of the House of Representatives of the Philippines,Q18002923,Q7701087,2001-06-30,2010-06-30
Q561797,Member of the House of Representatives of the Philippines,Q18002923,Q2192916,2001-06-30,2010-06-30
Q3707023,Secretary of Education,Q7444298,Q2184714,2001-02-10,2002-08-31
