@@,item,itemlabel,startdate,enddate
->,Q562584,Cayetano Arellano,1901-06-15->1901-06-11,1920-04-01->1920-04-12
->,Q2464345,"Claudio Teehankee, Sr.->Claudio Teehankee Sr.",1986-04-02->1987-04-02,1988-04-18
+++,Q7322765,Ricardo Paras Jr.,1951-04-02,1961-02-17
+++,Q5529445,Maria Lourdes Sereno,2012-08-25,2018-05-11
+++,Q449931,César Bengzon,1961-04-28,1966-05-29
+++,Q3589122,Querube Makalintal,1973-10-21,1975-12-22
+++,Q3548391,José Yulo,1942-05-07,1945-07-09
+++,Q3270447,José Abad Santos,1941-12-24,1942-05-02
+++,Q2682129,Roberto Concepcion,1966-06-17,1973-04-18
+++,Q2625360,Renato Corona,2010-05-17,2012-05-29
+++,Q2599027,Felix Makasiar,1985-07-25,1985-11-19
+++,Q2598029,Fred Ruiz Castro,1976-01-05,1979-04-19
+++,Q2533563,Andres Narvasa,1991-12-08,1998-11-30
+++,Q2482406,Ramon Aquino,1985-11-20,1987-03-06
+++,Q2406489,Victorino Mapa,1920-07-01,1921-10-31
+++,Q2399521,Pedro Yap,1988-04-19,1988-06-30
+++,Q2337910,Artemio Panganiban,2005-12-20,2006-12-07
+++,Q2176997,Hilario Davide Jr.,1998-11-30,2005-12-20
+++,Q2171453,Ramón Avanceña,1925-04-01,1941-12-24
+++,Q2146907,Enrique Fernando,1979-07-02,1985-07-24
+++,Q1857996,Reynato Puno,2006-12-08,2010-05-17
+++,Q12967684,Manuel Moran,1945-07-09,1951-03-20
+++,Q12967678,Manuel Araullo,1921-11-01,1924-07-26
+++,"",Teresita de Castro,2018-08-28,2018-10-10
